county_fips,year,county,rate_range,cdc_population,county_name_acs,total_pop_acs,female_pop_acs,female_share
18109,2013,"Morgan County, IN",16.1-18,69381,"Morgan County, Indiana",72202,36221,0.5016620038226088
18111,2013,"Newton County, IN",12.1-14,14029,"Newton County, Indiana",13859,6782,0.4893570964716069
18113,2013,"Noble County, IN",8.1-10,47501,"Noble County, Indiana",47417,23457,0.49469599510724
18115,2013,"Ohio County, IN",20.1-22,6026,"Ohio County, Indiana",5993,3017,0.5034206574336726
18117,2013,"Orange County, IN",10.1-12,19736,"Orange County, Indiana",19746,9840,0.49832877544819204
18119,2013,"Owen County, IN",12.1-14,21175,"Owen County, Indiana",21434,10585,0.4938415601380983
18121,2013,"Parke County, IN",12.1-14,17199,"Parke County, Indiana",16346,8485,0.5190872384681268
18123,2013,"Perry County, IN",10.1-12,19449,"Perry County, Indiana",19218,8729,0.4542095951711937
18125,2013,"Pike County, IN",10.1-12,12660,"Pike County, Indiana",12187,6124,0.5025026667760729
18127,2013,"Porter County, IN",14.1-16,166578,"Porter County, Indiana",174150,87928,0.5048980763709446
18129,2013,"Posey County, IN",10.1-12,25497,"Posey County, Indiana",25163,12527,0.4978341215276398
18131,2013,"Pulaski County, IN",18.1-20,13011,"Pulaski County, Indiana",12441,6259,0.5030946065428824
18133,2013,"Putnam County, IN",8.1-10,37507,"Putnam County, Indiana",37091,17516,0.472243940578577
18135,2013,"Randolph County, IN",12.1-14,25600,"Randolph County, Indiana",24425,12214,0.5000614124872057
18137,2013,"Ripley County, IN",14.1-16,28493,"Ripley County, Indiana",29039,14505,0.49950067151072697
18139,2013,"Rush County, IN",12.1-14,17001,"Rush County, Indiana",16734,8399,0.501912274411378
18143,2013,"Scott County, IN",28.1-30,23800,"Scott County, Indiana",24468,12356,0.5049861042994932
18145,2013,"Shelby County, IN",14.1-16,44455,"Shelby County, Indiana",45104,22710,0.503503015253636
18147,2013,"Spencer County, IN",10.1-12,20827,"Spencer County, Indiana",19871,9713,0.4888027779175683
