EVENT_YR,EVENT_COUNTY,EVENT_COUNTY_POP,PATIENT_AGE_GROUP,NONPHYS_MENTAL_HEALTH_FLG_CNT,SUICIDAL_AND_SELF_HARM_FLG_CNT,HOMICIDAL_AND_HARM_TO_OTHERS_FLG_FLG_CNT,ETL_RUN_TIMESTAMP
2024,SPENCER,19910,18 to 60,202,29,148,7/24/2025 9:17
2024,PARKE,16484,18 to 60,182,38,121,7/24/2025 9:17
2021,PARKE,16486,18 to 60,144,29,84,7/24/2025 9:17
2021,CASS,37558,60+,461,10,172,7/24/2025 9:17
2021,SPENCER,19841,18 to 60,223,48,182,7/24/2025 9:17
2022,MARION,969223,< 18,7336,2205,6564,7/24/2025 9:17
2024,GRANT,66200,18 to 60,5839,797,3216,7/24/2025 9:17
2019,LAGRANGE,39771,18 to 60,614,125,302,7/24/2025 9:17
2022,MARION,969223,60+,38168,1807,12024,7/24/2025 9:17
2022,ST JOSEPH,272282,18 to 60,6968,1117,2546,7/24/2025 9:17
2020,ST JOSEPH,272682,18 to 60,13249,2156,3321,7/24/2025 9:17
2023,VANDERBURGH,179810,< 18,1410,426,1582,7/24/2025 9:17
2017,DELAWARE,115268,60+,2223,110,511,7/24/2025 9:17
2023,SHELBY,45231,60+,2086,65,760,7/24/2025 9:17
2021,ST JOSEPH,272286,18 to 60,12213,1708,3136,7/24/2025 9:17
2020,GRANT,66507,18 to 60,2404,346,1265,7/24/2025 9:17
2023,VANDERBURGH,179810,60+,7775,392,2982,7/24/2025 9:17
2019,KNOX,36603,60+,1606,87,402,7/24/2025 9:17
